,inflation,unemployment
2006-08-01,2.0545147423822754,3.6
2006-09-01,2.391436624837357,3.2
2006-10-01,2.7597630847541694,3.4
2006-11-01,2.5598784949016804,3.5
2006-12-01,2.6738184762487687,3.5
2007-01-01,2.657148166818352,3.8
2007-02-01,2.2914355222603784,3.8
2007-03-01,1.8796714465867475,3.4
2007-04-01,2.7944163782901765,3.6
2007-05-01,3.5470404582237407,3.5
2007-06-01,4.280339658269765,3.6
2007-07-01,4.026644880051253,3.8
2007-08-01,4.205031811145294,3.8
2007-09-01,4.059437761536743,3.8
2007-10-01,3.8979372014913145,3.8
2007-11-01,3.829490949842284,3.7
2007-12-01,4.007048490962231,3.9
2008-01-01,4.818013152732949,4.0
2008-02-01,5.351718445415313,4.0
2008-03-01,5.171936664573958,4.2
2008-04-01,4.8345492699974715,4.2
2008-05-01,3.663138189931704,4.4
2008-06-01,1.0939123723626045,4.5
2008-07-01,-0.022230473340495955,4.8
2008-08-01,-0.11365057683111446,5.0
2008-09-01,0.008462782567955815,5.3
2008-10-01,-0.4474784608338576,5.7
2008-11-01,-0.5779915821649063,6.0
2008-12-01,-1.0209555557125893,6.6
2009-01-01,-1.2367914498850148,7.1
2009-02-01,-1.9781989747510798,7.7
2009-03-01,-1.494954534833629,8.3
2009-04-01,-1.3875246181173921,8.6
2009-05-01,-0.22421947830299496,9.0
2009-06-01,1.8964895854718593,9.1
2009-07-01,2.7752542063598593,9.0
2009-08-01,2.5873489607177818,9.2
2009-09-01,2.128521749898774,9.4
2009-10-01,2.2604301286157606,9.6
2009-11-01,2.182773961183593,9.6
2009-12-01,1.983742011461369,9.3
2010-01-01,1.1153177381444082,9.3
2010-02-01,1.331869589795916,9.3
2010-03-01,1.1436132834317785,9.1
2010-04-01,1.1121053678140036,9.4
2010-05-01,1.1599417381349724,8.7
2010-06-01,1.0787057695652484,8.7
2010-07-01,1.4275547979704077,8.7
2010-08-01,1.686482098466315,8.8
2010-09-01,2.1026370112833663,8.7
2010-10-01,2.585526825259404,8.6
2010-11-01,3.0308370223773804,9.1
2010-12-01,3.400494117946895,8.5
2011-01-01,3.4423824057196946,8.0
2011-02-01,3.5172925914501474,8.0
2011-03-01,3.6862126476174084,7.9
2011-04-01,3.741737362139942,8.0
2011-05-01,3.4616554596579507,7.8
2011-06-01,3.393206261784132,7.9
2011-07-01,3.0161211420959737,7.8
2011-08-01,2.9722907692414715,7.6
2011-09-01,2.8779955356842346,7.6
2011-10-01,2.5880986080544064,7.7
2011-11-01,2.2908988350252515,7.2
2011-12-01,1.726948423720665,7.2
2012-01-01,1.6324660140395129,6.9
2012-02-01,1.3572376584789165,6.9
2012-03-01,1.6396902068277646,6.8
2012-04-01,1.9188322563632985,6.8
2012-05-01,2.1401106921113575,6.9
2012-06-01,1.7926216268152073,7.0
2012-07-01,1.7662592884900474,6.8
2012-08-01,1.6457354121989478,6.7
2012-09-01,2.0062140377099693,6.6
2012-10-01,1.4826586033311553,6.5
2012-11-01,1.1146356689622676,6.4
2012-12-01,1.3777390719344098,6.3
2013-01-01,1.6712513845603632,6.6
2013-02-01,1.8533824534256815,6.2
2013-03-01,1.4705734542152762,6.1
2013-04-01,1.1428597431618435,6.4
2013-05-01,0.921257595249542,6.3
2013-06-01,1.2597698656415595,6.2
2013-07-01,1.5339731277669386,6.3
